pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Mouse: Gi-DREADD (hM4Di),"In neurons, activation of hM4Di induces neuronal silencing. This model can be used to selectively and reversibly suppress hippocampal neuronal activity during synaptic consolidation. Clozapine-N-oxide induces Gi activation and allows in vivo manipulation of neuronal activity in freely moving animals.This mouse line is available from The Jackson Laboratory and can be found athttps://www.jax.org/strain/026219.",https://www.jax.org/strain/026219,https://www.jax.org/strain/026219,Bryan Roth,http://technologies.unc.edu/inventors/18585017_bryan-roth,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0160
Polyclonal Antiserum: DDB1,"Damaged DNA binding protein 1 (DDB1) could prevent the replication of damaged DNA, contributing to DNA repair and the maintenance of genomic integrity. These rabbit polyclonal antibodies to DDB1 (N-REKEFNKGPWKQENVE-H) were raised against a synthetic peptide derived from human p127DDB1 coupled to keyhole limpet haemocyanin (KLH). They are useful for evidencing the in vivo association of DDB1 with ROC1, a small RING finger protein that activates an ubiquitin-conjugating enzyme, and CUL4A, a cullin-dependent ligase essential to cell cycle control, genomic stability and development.This research tool is available from Kerafast and can be found athttps://www.kerafast.com/product/3349/anti-ddb1-antibody.",https://www.kerafast.com/product/3349/anti-ddb1-antibody,https://www.kerafast.com/product/3349/anti-ddb1-antibody,Yue Xiong,http://technologies.unc.edu/inventors/18585014_yue-xiong,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0166
Two Dimensional Electrides as Battery Electrode Materials,"A new class of two-dimensional materials has been developed for battery electrodes that are derived from bulk electride crystals such as Ca2N, Sr2N, Ba2N, and Y2C. Electrides are materials that trap electrons at stoichiometric concentration, such that the electrons themselves serve as counteranions. Despite rapid progress in the last decade to synthesize, isolate, and use electrides, a number of challenges hinder their potential application. For example, the low surface area and limited electron accessibility of bulk electride surfaces inhibit their potential utility as novel catalysts and conductive materials. These materials are synthesized by a liquid exfoliation process in which large pieces of layered electrides are placed in a solvent and subjected to sonication. The resulting nanosheets have a two-dimensional morphology and can be further isolated and separated by centrifugation or solvent removal. Advantages:• Nanosheets are stable and possess a low work function and a metallic electronic structure• Potential application of nanosheets as battery electrode materials•",Experimental Demonstration of an Electride as a 2D Material,https://pubs.acs.org/doi/abs/10.1021/jacs.6b10114?journalCode=jacsat&quickLinkVolume=138&quickLinkPage=16089&selectedTab=citation&volume=138,Scott Warren,http://technologies.unc.edu/inventors/18585010_scott-warren,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Scientists create first 2-D electride,#16-0168
Cell Line: HeLa EGFP-654(available with EGFP or Luciferase-pLuc/705),,"Nuclear antisense effects of neutral, anionic and cationic oligonucleotide analogs",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC60237/,Ryszard Kole,http://technologies.unc.edu/inventors/18585007_ryszard-kole,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,LCCC Tissue Culture Facility,#16-0176
Scientifically-Lossless Video Microscopy Compression,"A novel compression method has been developed based upon Pearson’s correlation coefficient and mathematical morphology that, for certain data sets, compresses much better than lossless compression with no impact on analysis results. It is “scientifically lossless.” The compressed size scales with the video’s scientific data content, while existing lossy algorithms greatly impacted data analysis at similar compression sizes.Advantages:• Can achieve over 100Ã— compression, enabling high-throughput video-acquisition experiments to be stored in the same space as conventional experiments•",Analysis-preserving video microscopy compression via correlation and mathematical morphology,https://www.ncbi.nlm.nih.gov/pubmed/26435032,Russell Taylor,http://technologies.unc.edu/inventors/18584994_russell-taylor,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent US 2017/0244976,#15-0004
Web Page Classification using Anonymized TCP/IP Headers,"A method has been developed that classifies web pages based only on anonymized TCP/IP headers of traffic generated when a web page is visited. The framework can work for a variety of classification labeling schemes including video and mobile. ISPs and Internet measurement companies, as well as academia may have an interest in the procedure. Commercial uses include (1) Behavioral ad-targeting for Internet service providers; and (2) Inference on higher level traffic events/details using minimal information: (i) internet measurement study tool and (ii) tool to help develop models of the web to test capacity limits and new protocols.Advantages:• Honors privacy concerns of users since it uses anonymized TCP/IP headers• Usable by entities that do not have application information or state such as Internet service providers and network administrators•",Can Web Pages Be Classified Using Anonymized TCP/IP Headers?,http://www.cs.unc.edu/~jasleen/papers/infocom15.pdf,Sean Sanders,http://technologies.unc.edu/inventors/18584993_sean-sanders,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2018/0013639,#15-0015
Monoclonal Antibody: SMV59 Against Norovirus GII.2.1976,,Characterization of blockade antibody responses in GII.2.1976 Snow Mountain virus-infected subjects,https://www.ncbi.nlm.nih.gov/pubmed/24173225,Ralph Baric,http://technologies.unc.edu/inventors/18584990_ralph-baric,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0026
Mouse: CGRPalpha-GFP Expression,,CGRP?-expressing sensory neurons respond to stimuli that evoke sensations of pain and itch,https://www.ncbi.nlm.nih.gov/pubmed/22563493,Mark Zylka,http://technologies.unc.edu/inventors/18584989_mark-zylka,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0028
Biomarkers for Prognostic Subtyping of Pancreatic Cancer,"By digitally separating tumor, stroma, and normal tissues to remove confounding gene expression two pancreatic cancer subtypes have been identified and validated. A “basal-like” subtype can be identified which has worse outcome (similar to basal tumors in bladder and breast cancer) but showed a strong trend towards better response to adjuvant therapy. Normal and “activated” stromal subtypes were also identified and found to be prognostic.Advantages:• Separates tumor subtypes by biological and clinical relevance• Predictive of response to adjuvant therapy ",Virtual microdissection identifies distinct tumor- and stroma-specific subtypes of pancreatic ductal adenocarcinoma,http://www.ncbi.nlm.nih.gov/pubmed/26343385,Jen Jen Yeh,http://technologies.unc.edu/inventors/18584988_jen-jen-yeh,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,US Patent Pending US 2017/0233827,#15-0032
Brg1/Brm as Targets for Cardiac Conduction Defects in Heart Failure,"An alternative therapy has been developed for cardiac conduction defects by altering Brg1/Brm function in regulating ion channels and gap junction proteins at the same time. The primary therapies for cardiac arrhythmias act by interferring with the sodium channel activity (Class 1), potassium efflux (Class 3), calcium channels, and AV node (Class 4), or beta adrenergic receptor blockade (Class II). SWI/SNF ATPases Brg1 and Brm have now been shown to regulate cardiomyocyte chromatin remodeling to maintain cardiac conduction. Brg1/Brm double-mutant mice exhibited increased mitochondrial biogensis, autophagy, along with evidence of perturbed cardiac mitochondrial dynamics.Advantages:• Alternative therapy to ion channel therapies• HDAC inhibitors could be used as anti-arrhythmia therapy ",Functional redundancy of SWI/SNF catalytic subunits in maintaining vascular endothelial cells in the adult heart,https://www.ncbi.nlm.nih.gov/pubmed/22740088,Monte Willis,http://technologies.unc.edu/inventors/18584987_monte-willis,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent Pending US 20180140722,#15-0037
Mouse: Akita Mice with Human apoE4 and Human LDLR Receptors (E4hAkita),,Diabetic atherosclerosis in APOE*4 mice: synergy between lipoprotein metabolism and vascular inflammation,https://www.ncbi.nlm.nih.gov/pubmed/23204275,Nobuyo Maeda,http://technologies.unc.edu/inventors/18584986_nobuyo-maeda,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0038
Visible Light-Driven Water Splitting,A dye-sensitized photoelectrosynthesis cell (DSPEC) has been developed for splitting water with a core/shell of nanostructured electrodes derivatized with surface-bound chromophore-catalyst assemblies. Artificial photosynthesis research efforts seek to convert solar energy into chemical fuels by splitting water into oxygen and hydrogen or reducing CO2. The assembly can be further stabilized by deposition of protective overlayers of metal oxides via atomic layer deposition. This DSPEC can split water to H2 and O2 using visible light.Advantages:• Core/shell electrode structure and protective overlayers on chromophore-catalyst assembly result in enhanced efficiency and greater stability over previous approaches for visible light-driven water splitting• Demonstrated photocurrent densities as high as 1.97 mA/cm2 at pH 7•,Solar water splitting in a molecular photoelectrochemical cell,http://www.pnas.org/content/110/50/20008.abstract,Thomas Meyer,http://technologies.unc.edu/inventors/18584984_thomas-meyer,Jennifer Dean  919.966.3929,http://technologies.unc.edu/managers/366_jennifer-dean,UNC researchers harness sun’s energy during day for use at night,#15-0045
Cell Line: CWR-R1 Prostate Cancer,,https://www.kerafast.com/product/3333/human-prostate-cancer-cell-line-cwr-r1,https://www.kerafast.com/product/3333/human-prostate-cancer-cell-line-cwr-r1,Elizabeth Wilson,http://technologies.unc.edu/inventors/18584981_elizabeth-wilson,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0053
"Plasmid: HM175/p16 HAV Infectious Molecular Clone, pHM175-p16#12",,A pathogenic picornavirus acquires an envelope by hijacking cellular membranes,http://www.nature.com/nature/journal/v496/n7445/full/nature12029.html,Stanley Lemon,http://technologies.unc.edu/inventors/18584980_stanley-lemon,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0056
Poly-Metformin: A Polymeric Formulation for the Treatment of Metabolic Disorders and Enhanced Gene Delivery,"A polymeric formulation of Metformin has been developed. PolyMetformin (PolyMet) has been successfully synthesized through conjugation of linear polyethylenimine (PEI) with dicyandiamide. The delocalization of cationic charges in the biguanide groups of PolyMet reduces the toxicity of PEI both in vitro and in vivo. Furthermore, the polycationic properties of PolyMet permit capture of siRNA into a core-membrane structured Lipid-Polycation-Hyaluronic acid (LPH) nanoparticle for systemic gene delivery. Even in the absence of RNAi, LPH-PolyMet nanoparticles act similarly to Metformin and activate the AMPK pathway. AMPK activation causes the inhibition of cholesterol synthesis, triglyceride synthesis, lipogenesis, and can stimulate hepatic fatty acid oxidation. LPH-PolyMet nanoparticles show promise as a therapy for metabolic disorders such as diabetes, nonalcoholic steatohepatitis (NASH), and nonalcoholic fatty liver disease (NAFLD).Advantages:• PolyMet can circulate for a longer time in the body compared to Metformin• Dual purpose therapeutic agent• Reduced cytotoxicity from conventional nanoparticle formulations",PolyMetformin combines carrier and anticancer activities for in vivo siRNA delivery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4897747/,Leaf Huang,http://technologies.unc.edu/inventors/18584978_leaf-huang,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,Provisional Patent Application Filed ,#15-0060
Next Generation Biomedicine Low Frequency Magnetic Nanoparticles,"Novel polymer-coated magnetic nanoparticles (MNP-polymer complexes) have been developed that can be used in a variety of biomedical, therapeutic, and industrial applications. The iron oxide magnetic nanoparticle cores are synthesized by thermal decomposition yielding a tunable, uniform size. These unique polymer coatings have been shown to promote enhanced uptake into tumor and other cells. The MNP-polymer complexes can be efficiently and remotely actuated by super low frequency AC magnetic field with variety of field strengths which trigger cell death. The novel polymer coating enables loading of therapeutic and contrast imaging agents which can be modified to accommodate various targeting moieties. Proof of concept data has been generated in cancer cell lines.Advantages:
Customized to a specific application
High safety and biocompatibility profile
Magnetic nanoparticles can be easily and safely scale-up
Prolonged shelf-life
Lyophilization compatible
Robust quality control",Recent Publication,https://pharmacy.unc.edu/unc-nanomedicine-researchers-uncover-high-potential-for-low-frequency-magnetic-fields/,Alexander Kabanov,http://technologies.unc.edu/inventors/18584975_alexander-kabanov,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,PCT Patent Application PCT/US2017/025250,#15-0061
Methods for Preventing and Treating Graft Versus Host Disease,Infusion of ILC2 cells that are substantially free of ILC3 and MPP2 cells can be used to treat steroid refractory GvHd. Gastrointestinal tract graft-versus-host disease (GvHD) is relatively common following allogeneic stem cell transplantation however the prognosis is poor for steroid-refractory GvHD due to lack of alternate treatments. Ex vivo expansion and infusion of mouse ILC2 cells at key timepoints have diminished GvHD and provide encouraging results.Advantages:• New treatment for steroid-refractory GvHD• Purified ILC2 cells are free of contaminating MPP2 and ILC3 cells•,Nouvant,https://www.nouvant.com,Jonathan Serody,http://technologies.unc.edu/inventors/18584973_jonathan-serody,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,US Patent Pending US 2017/0360907,#15-0064
Photoredox-Catalyzed Direct C-H Functionalization of Arenes,"An organic photoredox-based catalysis system has been developed for the C-H functionalization of aromatic compounds. This method is amenable to addition of a variety of functional groups and provides a practical route to the direct, selective transformation of arene C-H bonds.Advantages:• Regioselective addition• No prior functionalization required• One-step formation of primary anilines and azoles•",Site-selective arene C-H amination via photoredox catalysis,http://science.sciencemag.org/content/349/6254/1326.long,David Nicewicz,http://technologies.unc.edu/inventors/18584971_david-nicewicz,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Photoredox Catalysis Activates Aryl C–H Bonds In Amination Reaction,#15-0068
Streaming-connected Large-scale Structure-from-Motion,"A novel large-scale structure from motion framework advances the state of the art in data scalability from city-scale modeling (millions of images) to world-scale modeling (several tens of millions of images) using just a single computer. The main enabling technology is the use of a streaming-based framework for connected component discovery. Moreover, the system employs an adaptive online iconic clustering approach based on an augmented bag-of-words representation, in order to balance the goals of registration, comprehensiveness, and data compactness. Useful for a wide range of applications including virtual reality, image-based localization, and autonomous navigation.Advantages:• Novel data association concept overcomes the challenges that the streaming processing posed for the data association required for 3D reconstruction and achieves high model completeness• Pushes the scale of reconstructabilty by more than an order of magnitude while achieving highly complete models• Efficient• Scalable",Recent Publication,http://frahm.web.unc.edu/files/2014/08/cvpr2015-heinly.pdf,Jan-michael Frahm,http://technologies.unc.edu/inventors/18584968_jan-michael-frahm,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,PCT Patent Application WO 2016/154499,#15-0088
Delivery of Neuroprotective Therapeutic Agents to the CNS,"Innovative polymer-based formulations have been developed for delivery of neurotrophins to the brain using peripheral and central administration. The anionic block copolymers are used in charge excess with respect to the neurotrophins, so that neurotrophins and block copolymers form a nanoscale size polyion complex, while the free block copolymers are also present in the formulation. The formulation increases serum and mucosal stability and prevents enzymatic degradation of neurotrophins. The excess of the block copolymer inhibits efflux of neurotrophin from the brain, thereby increasing the brain levels of neurotrophin. These novel compositions are used to treat.Advantages:• Rapid and non-invasive delivery of proteins to the brain• Targeted delivery within brain compartments• Platform technology allows development of formulations based on various therapeutical proteins• Reduction of peripheral exposure to therapeutical proteins• Significant reduction of rare and costly proteins needed to achieve therapeutically meaningful doses in specific brain regions",Nanoformulation of Brain-Derived Neurotrophic Factor with Target Receptor-Triggered-Release in the Central Nervous System,https://onlinelibrary.wiley.com/doi/epdf/10.1002/adfm.201703982,Alexander Kabanov,http://technologies.unc.edu/inventors/18584963_alexander-kabanov,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,PCT Patent Application PCT/US2017/015930,#15-0104
Multi-stage Robot for Transoral Peripheral Lung Access,"A robotic approach has been developed for image-guided trans-bronchoscopic lung access. The multi-stage robotic system can bring the benefits of transoral access to patients with difficult-to-access peripheral lung nodules, avoiding the drawbacks of percutaneous and transoral bronchoscopic biopsy. It offers the potential to steerably biopsy peripheral lung regions deep in the parenchyma, via a transoral approach.Advantages:• Brings the benefits of transoral access to patients with peripheral lung nodules• Access to sites that are traditionally inaccessible transorally• Early stage diagnosis of lung disease• Potential to reduce the risk of pneumothorax (lung collapse)• Gives physicians the option of obtaining a definitive diagnosis when a suspicious nodule is first detected","Tendons, Concentric Tubes, and a Bevel Tip: Three Steerable Robots in One Transoral Lung Access System",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4492535/,Ron Alterovitz,http://technologies.unc.edu/inventors/18584962_ron-alterovitz,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 20180214010,#15-0106
Automatic Obstacle Avoidance During Tentacle-like Robot Teleoperation,"A motion planning approach for concentric tube robot teleoperation that enables a tentacle-like robot to interactively maneuver its tip to points selected by a user while automatically avoiding sensitive anatomical obstacles (e.g., critical vessels, nerves, and organs) along its shaft. The user specifies goal positions by clicking with a 3D mouse on an augmented reality interface, and the robot automatically moves its tip to the specified goal position while avoiding contact with obstacles. This approach could enable surgeons to perform safer and less invasive surgeries with fewer medical errors by decreasing cognitive load on surgeons during procedures and providing a level of automatic control of the device. The approach has commercial potential for intuitive surgical and other medical robot and device companies.Advantages:• Safe and effective operation of tentacle-like robots for surgical procedures• Decreases physicians' mental loads, freeing them to focus on controlling the robot’s tip• Less invasive surgeries• Reduces the error between the commanded goal position and the robot’s tip position by using tip position sensing to account for kinematic modeling error. ",A motion planning approach to automatic obstacle avoidance during concentric tube robot teleoperation,https://uncch.pure.elsevier.com/en/publications/a-motion-planning-approach-to-automatic-obstacle-avoidance-during,Ron Alterovitz,http://technologies.unc.edu/inventors/18584958_ron-alterovitz,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,PCT Patent Application WO 2016/191364,#15-0107
Polyclonal Antiserum: Antibodies to Melanoma Antigen-A11 (MAGE-A11),"Prostate cancer growth and progression depend on androgen receptor (AR) transcriptional signaling, which is increased by MAGE-A11, an AR coregulator. MAGE-A11 is a cancer-testis antigen that resides predominantly in the nucleus at low levels in normal human reproductive tract tissues and at higher levels in castration-resistant prostate cancer. These antibodies were raised in rabbits against MAGE-A11 and appear to be high affinity as low levels of MAGE-A11 can be detected. The main uses of the MAGE-A11 antibodies are western blot analysis and immunocytochemistry.These antibodies are available from Kerafast and can be found at",https://www.kerafast.com/product/3332/anti-mage-a11-antibodies,https://www.kerafast.com/product/3332/anti-mage-a11-antibodies,Elizabeth Wilson,http://technologies.unc.edu/inventors/18584954_elizabeth-wilson,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0122
Mouse: Matrix Gla (MGP) Expression,"Matrix Gla (MGP) is a potent mineralization inhibitor secreted by cartilage chondrocytes and arteries' vascular smooth muscle cells. Expression of Cre is under the control of the entire Mgp regulatory regions, and thus its expression represents a true Mgp-tissue specific expression.",A Novel Mgp-Cre Knock-In Mouse Reveals an Anticalcification/Antistiffness Candidate Gene in the Trabecular Meshwork and Peripapillary Scleral Region,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4406033/,Terete Borras,http://technologies.unc.edu/inventors/18584951_terete-borras,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#15-0125
Use of Non-cylindrical Bead Well Geometries to Improve Assay Readout in a Compact Microwell Array,"Novel, non-cylindrical bead well geometries have been
developed that improve detection in bead-based assays. Well geometries are
fabricated such that one area of the well is optimized for magnetic loading and
bead retention, and another region of the well is used for signal detection.
The two regions of the well are fluidically connected to each other allowing
for reagents or analytes to diffuse or mix. By spatially separating the bead
from the detection region, the contribution of bead background fluorescence to
the signal can be reduced or eliminated, thus improving the signal to noise
ratio. Related technologies have been developed that increase multiplexing
capability by incorporating dye stability as a measurement (16-0015) and
utilize bead-based delivery of reagents to facilitate parallel assays on a
multiplexed-in-space microfluidic device (12-0128).
Advantages:
•
Applies to a range of volumes from 1 fL up to
several Î¼L with bead diameters from a few hundred nm to mm

•
Can be used for highly sensitive real-time PCR
detection of multiple target sequences on a single chip with or without the use
of sequence-specific probes
•",An automated integrated platform for rapid and sensitive multiplexed protein profiling using human saliva samples,http://pubs.rsc.org/en/content/articlehtml/2014/lc/c3lc51303c,J Ramsey,http://technologies.unc.edu/inventors/18584949_j-ramsey,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Provisional Patent Application Filed ,#15-0131
Use of Ice-Nucleating Proteins to Improve Performance of Freeze-Thaw Valves in Microfluidic Systems,"This methodology utilizes ice-nucleating proteins (INPs) as additives to initiate the freezing of water or aqueous solutions at higher temperatures and improve the performance of freeze-thaw-valves in microfluidic chips. Ice-nucleating proteins are produced by fungi, bacteria, and other organisms, and are capable of inducing ice crystal formation in microfluidic systems at temperatures as warm as -2 °C. In microfluidic systems that utilize multiple liquids or reagents, valves are often necessary to modulate fluid flow. Various valving technologies have been employed, but most require complicated or relatively expensive microstructures and/or external hardware. Freezing can be used to modulate fluid flow on microfluidic devices through freeze-thaw valves (FTVs). FTVs utilize an external cooling source to freeze a plug of fluid in a channel, thus stopping fluid flow in the desired regions of the chip. The channel can then be opened by warming the plug until it thaws. A high degree of supercooling, often to temperatures below -20 °C, is typically needed to freeze water in most microfluidic devices. The ice-nucleating protein, inaZ, from Pseudomonas syringae has been utilized to create a FTV with an internal temperature of -11 °C.Advantages:• Compatible with both elastic/flexible materials and inelastic/inflexible materials• INPs significantly reduce the average time water must be held below the freezing point before crystallization occurs• Allows precise fluid control with computer-controlled/automated capabilities• Uses simple and easy to manufacture chip architectures with no moving parts•",Use of Ice-Nucleating Proteins To Improve the Performance of Freeze–Thaw Valves in Microfluidic Devices,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.7b00556,J Ramsey,http://technologies.unc.edu/inventors/18584947_j-ramsey,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Provisional Patent Application Filed ,#15-0136
Acoustic Detection of Activated Ultrasound Phase-Change Contrast Agents,"This novel method detects acoustic signatures unique to phase-contrast agents (PCCAs) that can be used to differentiate PCCAs from surrounding tissue and standard microbubble contrast agents. These unique signals are due to over-expansion and oscillating frequencies induced upon oscillation of PCCAs. Once activated by a primary source, the vaporization event can be monitored passively by ultrasound. PCCAs have been gaining increasing attention in recent years as agents for diagnostic and therapeutic applications of ultrasound, and this detection method has the potential to benefit ultrasound technology and result in new therapeutic and diagnostic imaging techniques.Advantages:• This technology allows for the detection of unique acoustic signatures created by PCCAs• Detection of these signals can be differentiated from those of standard microbubble contrast agents• Detection of these signals allows spatial localization and quantification of PCCA activation, and may be useful for diagnostic and therapeutic applications of ultrasound•",Nouvant,https://www.nouvant.com,Paul Dayton,http://technologies.unc.edu/inventors/18584945_paul-dayton,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,US Patent Pending US 2016/0262727,#14-0009
Visible Light-Driven Water Splitting,A dye-sensitized photoelectrosynthesis cell (DSPEC) has been developed for splitting water with a core/shell of nanostructured electrodes derivatized with surface-bound chromophore-catalyst assemblies. Artificial photosynthesis research efforts seek to convert solar energy into chemical fuels by splitting water into oxygen and hydrogen or reducing CO2. The assembly can be further stabilized by deposition of protective overlayers of metal oxides via atomic layer deposition. This DSPEC can split water to H2 and O2 using visible light.Advantages:• Core/shell electrode structure and protective overlayers on chromophore-catalyst assembly result in enhanced efficiency and greater stability over previous approaches for visible light-driven water splitting• Demonstrated photocurrent densities as high as 1.97 mA/cm2 at pH 7•,Solar water splitting in a molecular photoelectrochemical cell,http://www.pnas.org/content/110/50/20008.abstract,Thomas Meyer,http://technologies.unc.edu/inventors/18584938_thomas-meyer,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,UNC researchers harness sun’s energy during day for use at night,#14-0019
Gaze-controlled Photo Taking System,"A gaze-controlled photo taking system allows the photographer to take a clear, focused image while still participating in the photo-scene experience and avoiding the “observer through the viewfinder” feeling. By augmenting currently existing autofocus algorithms and zoom/cropping mechanisms with gaze detection and pose estimation techniques, this “smarter camera” is adapted to observe the user and is capable of detecting the region of the scene which should be focused upon. Commercial applications include cameras, cell phone cameras, AR glasses like Google glasses, video cameras, etc.Advantages:• Referential gaze detection for usage in hands-free autofocus systems• A human-camera interaction system which opens the doors to gaze-specific metadata•",Adaptive Eye-Camera Calibration for Head-Worn Devices,http://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Perra_Adaptive_Eye-Camera_Calibration_2015_CVPR_paper.html,Jan-Michael Frahm,http://technologies.unc.edu/inventors/18584935_jan-michael-frahm,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2016/0309081,#14-0028
Vibration-Induced Stem Cell Chondrogenesis and Osteogenesis,"A surgically implantable bioreactor that induces either
chondrogenesis (cartilage development) or osteogenesis (formation of bone) from
mesenchymal stem cells has been developed.
In vitro studies in which vibratory signals were provided to both human
and porcine mesenchymal stem cells demonstrated that at lower frequencies the cells
differentiate into a cartilage phenotype, and will conversely differentiate
into a bone phenotype at higher frequencies.
Delivery of these vibratory signals in vivo would provide a novel
treatment option for bone and cartilage replacement. Currently, replacing bone or cartilage in
patients is accomplished with grafts to the site or with chemical induction of
chondrogenesis or osteogenesis.
Unfortunately, the success of these procedures is often unpredictable due
to problems with host rejection or insufficient induction of the correct tissue
type. This technology avoids these
problems because the bioreactor is able to drive tissue lineage selection of
mesenchymal stem cells simply through vibrational stimulation. Using the same technology, these researchers
have invented an in vitro device that is able to stimulate stem cells in
culture with vibrational frequencies between 1 and 100 hertz to better study
the mechanical induction of a cartilage or a bone cell lineage. These devices
represent a novel means to direct the development of mesenchymal stem cells and
provide better options for bone and cartilage replacement. Additionally, this system can help study stem
cell lineage determination induced by vibrational forces in the in vitro cell
culture system.
Advantages:
•
Eliminates the need for grafting and may
diminish chance of host tissue rejection 
•
No pharmacological agents involved 
•
Ability to adjust device program to better
direct tissue-specific growth 
•",Nouvant,https://www.nouvant.com,Robert Dennis,http://technologies.unc.edu/inventors/18584934_robert-dennis,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,US Patent Pending US 2016/0230135,#14-0030
Plasmid: Infectious Clone of Pipistrellus Bat Coronavirus (BtCoV) Strain HKU5,,A mouse model for Betacoronavirus subgroup 2c using a bat coronavirus strain HKU5 variant,https://www.ncbi.nlm.nih.gov/pubmed/24667706,Ralph Baric,http://technologies.unc.edu/inventors/18584933_ralph-baric,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0034
Mouse: Human FIX Knock-In (R333Q Mutation),,Creation of a mouse expressing defective human factor IX,https://www.ncbi.nlm.nih.gov/pubmed/15178576,Darrel Stafford,http://technologies.unc.edu/inventors/18584929_darrel-stafford,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0039
Improved Illumination of Spatial Augmented Reality Objects,"This methodology improves upon current spatial augmentation reality techniques, where the object of augmentation appears to glow unnaturally, through a combination of an improved projection surface and more accurate calibration for ambient illumination.Advantages:• More realistic images of live humans, recorded humans, or virtual characters into human-size mannequins• Applicable to immersive training scenarios, for immersive “teleconferencing”, entertainment, etc.•",Nouvant,https://www.nouvant.com,Henry Fuchs,http://technologies.unc.edu/inventors/18584928_henry-fuchs,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2016/0323553,#14-0051
